child_id,trial_id,scen_id,scen_name,feedback_type,in_sp,in_ex,in_sa,in_ap,in_tp,initial_pq,re_sp,re_ex,re_sa,re_ap,re_tp,revised_pq,perct_moti,perct_help
1,1,1,Programmieren lernen,dialogic,1,1,0,0,1,3,1,1,1,1,1,5,3,3
1,2,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,1,1,1,5,2,3
1,3,5,Videos drehen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,3,2
1,4,3,Bild Zeichnen,dialogic,1,1,1,1,0,4,1,1,1,1,1,5,3,3
1,5,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,0,1,0,1,0,2,2,2
1,6,4,Hund ausführen,instructive,1,1,0,1,0,3,1,1,0,1,0,3,2,2
2,1,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,4
2,2,6,Pflanzen gießen,dialogic,0,1,0,1,0,2,0,1,0,1,0,2,3,3
2,3,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,3
2,4,4,Hund ausführen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
2,5,1,Programmieren lernen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,3,3
2,6,5,Videos drehen,dialogic,1,1,0,1,0,3,1,1,0,1,0,3,4,2
3,1,6,Pflanzen gießen,instructive,0,0,0,0,0,0,0,1,0,0,0,1,2,2
3,2,4,Hund ausführen,instructive,0,1,0,1,0,2,1,1,1,1,1,5,2,2
3,3,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,3,3
3,4,1,Programmieren lernen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,3,3
3,5,5,Videos drehen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,3,3
3,6,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,4,4
4,1,1,Programmieren lernen,instructive,0,1,0,0,0,1,0,1,0,1,0,2,3,3
4,2,2,Geschichten schreiben,dialogic,0,1,0,1,0,2,1,1,0,1,0,3,3,4
4,3,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,0,1,0,3,4,3
4,4,3,Bild Zeichnen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,4
4,5,4,Hund ausführen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,3
4,6,6,Pflanzen gießen,dialogic,0,1,0,0,0,1,0,1,0,1,0,2,2,2
5,1,5,Videos drehen,instructive,0,0,0,0,0,0,0,1,0,1,1,3,2,2
5,2,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,4,4
5,3,4,Hund ausführen,instructive,0,1,0,1,0,2,1,1,1,1,1,5,3,3
5,4,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,1,1,1,5,4,4
5,5,2,Geschichten schreiben,instructive,1,1,1,1,1,5,1,1,1,1,1,5,2,3
5,6,6,Pflanzen gießen,dialogic,0,1,0,1,0,2,1,1,0,1,1,4,4,4
6,1,5,Videos drehen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,3
6,2,3,Bild Zeichnen,instructive,0,0,0,0,0,0,0,1,0,1,0,2,3,3
6,3,6,Pflanzen gießen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,4,4
6,4,4,Hund ausführen,dialogic,0,0,0,0,0,0,1,1,0,0,0,2,3,3
6,5,1,Programmieren lernen,instructive,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6,6,2,Geschichten schreiben,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,3
7,1,1,Programmieren lernen,instructive,0,1,0,1,0,2,0,1,0,1,1,3,4,4
7,2,3,Bild Zeichnen,dialogic,0,1,0,1,0,2,0,1,0,1,1,3,3,2
7,3,4,Hund ausführen,dialogic,1,0,0,1,0,2,0,1,0,1,0,2,3,1
7,4,5,Videos drehen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,3,1
7,5,2,Geschichten schreiben,instructive,0,1,0,1,0,2,0,1,0,1,1,3,3,2
7,6,6,Pflanzen gießen,instructive,1,1,0,1,1,4,0,1,1,1,0,3,3,3
8,1,6,Pflanzen gießen,dialogic,0,1,0,0,0,1,1,1,0,1,0,3,4,4
8,2,2,Geschichten schreiben,instructive,0,1,0,0,0,1,1,1,0,1,1,4,3,2
8,3,3,Bild Zeichnen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,4,4
8,4,4,Hund ausführen,instructive,0,0,0,0,0,0,0,1,0,0,0,1,2,2
8,5,5,Videos drehen,dialogic,0,0,0,0,0,0,1,1,1,1,1,5,4,4
8,6,1,Programmieren lernen,instructive,0,0,0,0,0,0,0,0,0,0,0,0,4,4
9,1,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,1,1,1,5,3,4
9,2,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
9,3,4,Hund ausführen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,2,3
9,4,2,Geschichten schreiben,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,3
9,5,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,2
9,6,3,Bild Zeichnen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,2,3
10,1,4,Hund ausführen,dialogic,1,1,1,1,1,5,0,1,0,1,0,2,4,3
10,2,1,Programmieren lernen,instructive,0,1,0,0,0,1,1,1,0,1,1,4,2,3
10,3,5,Videos drehen,instructive,0,1,0,1,0,2,1,1,0,1,1,4,2,2
10,4,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,0,1,0,1,1,3,3,4
10,5,6,Pflanzen gießen,dialogic,0,1,0,1,0,2,1,1,1,1,0,4,4,3
10,6,2,Geschichten schreiben,instructive,0,1,0,0,0,1,0,1,0,1,0,2,2,3
11,1,5,Videos drehen,dialogic,0,1,0,1,0,2,1,1,1,1,1,5,4,3
11,2,1,Programmieren lernen,instructive,1,0,0,1,1,3,1,1,0,1,1,4,3,2
11,3,3,Bild Zeichnen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,4,4
11,4,4,Hund ausführen,instructive,1,0,0,1,1,3,1,1,0,1,1,4,3,2
11,5,6,Pflanzen gießen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,2
11,6,2,Geschichten schreiben,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,4,4
12,1,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,1,0,0,1,0,2,2,3
12,2,5,Videos drehen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
12,3,6,Pflanzen gießen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,4,3
12,4,4,Hund ausführen,dialogic,0,0,0,1,0,1,0,0,0,1,1,2,2,2
12,5,2,Geschichten schreiben,instructive,0,0,0,0,0,0,0,1,0,1,0,2,3,3
12,6,1,Programmieren lernen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,3
13,1,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13,2,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,2,3
13,3,5,Videos drehen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,3
13,4,3,Bild Zeichnen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,3
13,5,4,Hund ausführen,dialogic,0,0,0,0,0,0,1,1,1,1,0,4,3,2
13,6,1,Programmieren lernen,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,3
14,1,6,Pflanzen gießen,dialogic,1,1,1,0,1,4,1,1,1,1,1,5,3,2
14,2,1,Programmieren lernen,dialogic,0,1,0,0,0,1,1,1,0,1,1,4,2,3
14,3,3,Bild Zeichnen,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,4
14,4,5,Videos drehen,dialogic,0,1,0,0,0,1,1,1,0,1,0,3,2,2
14,5,2,Geschichten schreiben,instructive,0,1,0,0,0,1,1,1,1,0,1,4,4,3
14,6,4,Hund ausführen,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,4
15,1,2,Geschichten schreiben,instructive,0,1,0,1,1,3,1,1,1,1,1,5,4,3
15,2,5,Videos drehen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,4,4
15,3,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,2,2
15,4,6,Pflanzen gießen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,4
15,5,3,Bild Zeichnen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,2,1
15,6,4,Hund ausführen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,2,2
16,1,4,Hund ausführen,instructive,0,0,0,0,0,0,0,0,0,0,0,0,2,2
16,2,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,2
16,3,6,Pflanzen gießen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,4
16,4,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,3,2
16,5,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,3
16,6,3,Bild Zeichnen,dialogic,0,1,0,0,0,1,1,1,0,1,1,4,4,3
17,1,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,0,1,0,0,0,1,1,2
17,2,4,Hund ausführen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,4
17,3,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,2,2
17,4,2,Geschichten schreiben,instructive,0,1,0,1,0,2,1,1,0,1,1,4,3,4
17,5,6,Pflanzen gießen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,4,4
17,6,5,Videos drehen,dialogic,0,1,0,0,0,1,0,1,0,0,0,1,1,1
18,1,1,Programmieren lernen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,2,2
18,2,3,Bild Zeichnen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,4
18,3,4,Hund ausführen,instructive,1,1,0,0,1,3,1,1,0,0,1,3,3,3
18,4,5,Videos drehen,dialogic,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,5,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,4
18,6,6,Pflanzen gießen,dialogic,1,1,0,0,1,3,1,1,0,0,1,3,2,2
